station_id,station_name,country_code,date,temp_c,dewp_c,wind_speed_m_s,visibility_km,precipitation_mm,pressure_hpa,latitude,longitude
111570-99999,AIGEN/ENNSTAL (MIL)          ,AU,2024-12-31,-9.277777777777779,-10.444444444444445,0.3086664,6.9,0.0,1038.9,47.533,14.133
890530-99999,BASE CARLINI,AY,2024-12-31,2.055555555555557,-0.6111111111111119,8.488326,6.2,0.0,1008.5,-62.233,-58.633
837460-99999,GALEAO ANTONIO CARLOS JOBIM,BR,2024-12-31,25.222222222222225,21.555555555555557,3.6525524,7.1,0.16,1013.0,-22.809,-43.244
136250-99999,GJIROKASTRA,AL,2024-12-31,2.7222222222222214,-0.4999999999999992,0.0,8.5,0.0,1032.3,40.083,20.15
789540-00408,GRANTLEY ADAMS INTERNATIONAL,BB,2024-12-31,24.72222222222222,18.277777777777782,3.9097744,27.4,0.0,1011.9,13.067,-59.483
110120-99999,KREMSMUENSTER,AU,2024-12-31,-3.611111111111111,-4.0,0.8745548,0.1,0.0,1033.5,48.05,14.133
604190-99999,MOHAMED BOUDIAF INTL,AG,2024-12-31,7.166666666666667,2.999999999999999,1.3375544000000001,6.2,0.0,1030.2,36.276,6.62
710680-99999,PEACE RIVER,CA,2024-12-31,-14.166666666666666,-17.5,2.1606648,9.1,0.0,1034.3,56.227,-117.447
879250-99999,RIO GALLEGOS,AR,2024-12-31,14.11111111111111,11.166666666666666,5.555995200000001,13.2,0.03,1004.6,-51.609,-69.313
876230-99999,SANTA ROSA,AR,2024-12-31,27.11111111111111,16.666666666666668,2.8808864,17.6,0.02,1007.0,-36.588,-64.276
