stn,wban,date,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
428380,99999,2024-12-31,2024,12,31,73.4,4,61.5,4,1017.2,4,999.9,0,1.9,4,5.1,4,6.0,999.9,82.8,*,59.7,,0.0,I,999.9,0,0,0,0,0,0
012390,99999,2024-12-31,2024,12,31,11.0,4,5.0,4,9999.9,0,999.9,0,999.9,0,8.7,4,15.5,999.9,14.0,,9.9,,0.0,I,999.9,0,0,0,0,0,0
489280,99999,2024-12-31,2024,12,31,56.4,4,53.8,4,9999.9,0,910.6,4,1.2,4,2.9,4,3.9,999.9,57.9,,55.6,*,99.99,,999.9,0,1,0,0,0,0
489250,99999,2024-12-31,2024,12,31,64.0,4,57.8,4,1015.2,4,941.2,4,3.3,4,1.9,4,3.9,999.9,73.6,,55.4,,0.0,I,999.9,1,0,0,0,0,0
013460,99999,2024-12-31,2024,12,31,12.3,4,10.2,4,9999.9,0,999.9,0,999.9,0,24.8,4,31.1,999.9,13.6,,8.8,,0.0,I,999.9,0,0,0,0,0,0
010020,99999,2024-12-31,2024,12,31,13.3,4,6.4,4,1004.2,4,3.1,4,999.9,0,16.4,4,17.5,21.4,14.5,,12.7,*,0.0,I,999.9,0,0,0,0,0,0
421390,99999,2024-12-31,2024,12,31,52.7,4,47.0,4,1021.9,4,999.9,0,1.1,4,0.0,4,999.9,999.9,59.4,,48.2,,0.0,I,999.9,0,0,0,0,0,0
011980,99999,2024-12-31,2024,12,31,12.4,4,6.8,4,994.1,4,968.3,4,999.9,0,999.9,0,999.9,999.9,29.3,,-4.7,,0.0,I,999.9,0,0,0,0,0,0
012140,99999,2024-12-31,2024,12,31,30.6,4,20.3,4,9999.9,0,999.9,0,999.9,0,9.2,4,15.5,999.9,33.6,,27.9,,0.0,I,999.9,0,0,0,0,0,0
042050,99999,2024-12-31,2024,12,31,8.5,4,-1.1,4,1030.2,4,27.7,4,11.2,4,5.1,4,12.0,18.3,14.7,,0.7,,99.99,,999.9,0,0,1,0,0,0
